,Reviewer Name,Review Title,Review Paragraph,Star Rating,Review Date
0,Vikas Mehta,Amazing Little phone,"I got my phone delivered from supercomnet in 4 days from Bangalore and just loving my phone. I had a 6s and upgraded to 7 and notice considerable upgrades.1. It has a taptic engine based soft home button so the feedback response is quick and I am happy to get off the 3.5 mm audio jack to fit in this engine.2. Its much faster and night photography is much cleared and crisper, thanks to the 1.8f rear camera which is an upgrade from the 2.2f camera in 6s.3. The audio driver is much better ...READ MORE",5,"Feb, 2017"
1,Avishek Rajak,Did not meet expectations,"The product is too good but I've found some overheating issue. After 2months I've noticed that the battery health of this device is dropped to 85% and the overheating issues are increased than before.After 6.5 months the phone was suddenly starting extremely heating up itselfs and the battery won't last atleast for 1hour, when i put it in the charging the device takes 15-20min. To turn itself power on and it's heated like hell when it have battery power. I'm not able to use this device.READ MORE",1,7 months ago
2,Rama Krishna Raju,Great product,"Excellent product, previously I was using iPhone 5s and faced some issues with battery but this model has good battery backup it nearly lasts about 6hrs with full charge and continues usage of internet, the performance was incredible when compared to iPhone 5s and even after 1 month of usage there is no point of getting struck even while playing games like PUBG , the screen and slim model makes it more easy to handle, the performance speed is so quick,the sound was magnificent and it produce ...READ MORE",5,"Dec, 2018"
3,Hari Krishnaprasad,Super!,Only one problem that i faced was flipkarts packing. The phones box was just covered by flipkarts plastic coverAlthough phone is perfect but the adapter is having heating issue on most times Headset is awesome Battery backup is adjustable but not worth for rough use and gamingKeep charger with you when travellingUpdated to ios 13 which is having some bugs such as overlay of texts sometimes on displayAccording to my personal experience iphone 7 is awesomeREAD MORE,5,"Jan, 2020"
4,Vinay Kumar,Worthless,This phone is my first iPhone and I am very disappointed because after purchasing with this phone time to time face many problems. First of all startup phone after voice problem And biggest problem is network problem. I am facing Network problem facing last 2 months and I am try to resolving problem but apple supporting team response is very poor  they are only communicate with me not to be helpful for my phone problem resolveing. They are only talk not be work for my problem.READ MORE,1,"Oct, 2020"
5,Arunabh Bahuguna,Fabulous!,"Got it at a very low price with discounts and exchange. So I am finding it worth the price paid. Have been using it since past 15months, and I haven’t encountered any issue. I am not a heavy user. So it works well for me.READ MORE",5,"Mar, 2019"
6,Manmeet Singh Kohli,Good,Battery & Heating & Network Problem In This I Phone 7 From First Day.One Little Scratch On Screen.No Satisfactory Response By Flipkart & Apple.Both Are Only One Excuss Sir It's Corona & Lockdown TimeREAD MORE,3,"Apr, 2020"
7,Aftab Hussain,Best in the market!,"One more addition of an i phone for my known, using i phone 6 then xs got this at cheaper price for a known in my family. No problem at all over these 2years of usage.READ MORE",5,"Jun, 2021"
8,WASIM  AKRAM,Best in the market!,"When I came to the phone from Flipkart, Allredi was boxed, I doubt that there will be a problem in this phone but there is nothing like that. My phone is doing a hundred percent working.READ MORE",5,"Apr, 2018"
9,Rojalin Mishra,Worth the money,Its been 3 yrs i hv got this phone. it works fine till nowit didnt cost me yet a extra penny for its service. so overall goodREAD MORE,4,"Jun, 2021"
10,Preeti Kureel,Pretty good,"good I phone 7 rose gold and best camera,best display, best quality,very good productREAD MORE",4,"Nov, 2018"
11,Bhavesh Kothari,Flipkart Rocks!!!!!!!!!!!!!!!,Buying the most awaited phone of the year and that too from flipkart was amazing.Really thankful to flipkart for understanding the customer's egarness. Flipkart Delivered the product on 7/10/16 at 7.10 pm when apple conducted all india launch.This kind of commitment from flipkart towards its customers is highly appreciable.Flipkart is another word for Geniune products.Iphone 7 in first looks is a awesome phone with gr8 camera. Altogether a new home button which is more faster than previ...READ MORE,5,"Oct, 2016"
